letter_id,n,text
1000,1.0,Hooper.
1000,2.0,"Caesarius an Bullinger, 24. August [Bartholomäustag] 1550 oder 1551? Zürich ZB, Ms Z II 3045.01 (Depot Evang.-ref. Kirchenrat)"
10013,3.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Wolfgang Joner, gen. R&#252;plin</persName>, Abt des Zisterzienserklosters Kappel am Albis. - Er gr&#252;ndete die Klosterschule und ernannte am 17. Januar 1523 Bullinger zu deren Schulmeister; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBBW</bibl> I <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10017"">[Nr. 2]</ref> 48f, Anm. 4."
10013,4.0,"Vgl. dazu etwa Bullingers Aufzeichnungen über seine Lektüre während seiner Schulund Studienzeit sowie als Lehrer im Kloster Kappel in <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBD</bibl> 2-8."
10013,5.0,= exercites.
10013,6.0,"Die Rede ist hier von handschriftlichen Abhandlungen (die ersten gedruckten Schriften aus Bullingers Feder sind erst 1526 erschienen; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBBibl</bibl> I 3f). In seinem Diarium listet Bullinger die von ihm in Kappel (1523-1529) verfassten Schriften auf (s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBD</bibl> 13-16), von denen die eine oder andere bereits in Dezember 1523 fertiggestellt worden sein k&#246;nnte, und beendet seine Aufz&#228;hlung mit folgender Angabe: &#8222;Anno Domini 1520 latine scripsimus duos dialogos adversus scholasticos theologos, duos item adversus Pipericornum [Johannes alias Josef Pfefferkorn] pro Ioanne Reuchlino, unum quoque, quem &#8222;Promotores&#8220; nuncupavimus. Hos omnes latine scripsimus.&#8220;"
10013,7.0,"Cicero, Tusculanae disputationes, 1, 2, 4."
10013,8.0,"1Kor 2, 2."
10013,9.0,"Siehe <persName xmlns=""http://www.tei-c.org/ns/1.0"">Plinius d.&#196;.</persName>, Naturalis historia, 10, 63."
10013,10.0,"Vgl. Gal 2, 20."
10013,11.0,"Hebr 4, 12."
10013,12.0,"Vergil, Aeneis, 6, 743."
10013,13.0,"Bileam, ein Priester der Moabiter, der seinem Volk beibrachte, wie man die verfeindeten Israeliten dazu veranlassen könnte, Gott zu verlassen, um so ihren eigenen Niedergang herbeizuführen; s. Num 31, 16; Apok 2, 14. - Bileam steht hier für die katholischen Priester."
10013,14.0,"Vgl. Joh 12, 40."
10013,15.0,"Zu diesem Ausdruck vgl. Horaz, Carmina, 2, 18, 34, über den Fährmann Charon, der die Toten in das Reich des Hades bringt."
10013,16.0,quid in procinctu tibi esse: was dir bevorsteht.
10013,17.0,"Der unten in Z. 259 namentlich genannte <persName xmlns=""http://www.tei-c.org/ns/1.0"">Hugo von Hohenlandenberg</persName> (geb. 1460, gest. 1532), Bischof der Konstanzer Di&#246;zese, welcher sowohl M&#252;ller als Bullinger angeh&#246;rten; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Helvetia Sacra</bibl> II/1 376-385."
10013,18.0,"Vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 1, 3, 41 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/1 354, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10272"">Nr. 241</ref>)."
10013,19.0,"Vgl. Martial, Epigramme, 4, 5, 7f."
10013,20.0,Durch die Kirchensteuern.
10013,21.0,"Vgl. Joh 10, 12; Apg 20, 29."
10013,22.0,Des Bischofs.
10013,23.0,"Vgl. Lk 10, 16; 16, 31."
10013,24.0,Prosodisch inkorrekt.
10013,25.0,"Vgl. Joh 14, 15. 23f."
10013,26.0,"Vgl. 1Kor 9, 26."
10013,27.0,"Vgl. Martial, Epigramme, 5, 39, 7."
10013,28.0,"Vielleicht <persName xmlns=""http://www.tei-c.org/ns/1.0"">Beatus Widmer</persName> (geb. 1487, gest. 1533), Kleriker des Bistums Konstanz und Verfasser einer Bistumschronik. Von 1507 bis 1520 &#8222;notarius collateralis&#8220; der Konstanzer Offizialatskurie. Seit dem 13. Oktober 1523 auch p&#228;pstlicher Notar; s. Peter-Johannes Schuler, Notare S&#252;dwestdeutschlands. Textband, Stuttgart 1987, S. 506f, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file11540"">Nr. 1497</ref>; Pia Ulrike Eckhart, Ursprung und Gegenwart. Geschichtsschreibung in der Bischofsstadt und das Werk des Konstanzer Notars <persName xmlns=""http://www.tei-c.org/ns/1.0"">Beatus Widmer</persName> (1475-ca. 1533), Stuttgart 2016."
10013,29.0,"Vielleicht Johann Spreter (Spräter), der 1520 als Fiskal der Konstanzer Kurie belegt ist und am 2. Januar 1522 auf Beschluss des Bischofs als Insiegler vorgeschlagen wurde; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Helvetia Sacra</bibl> II/2 607-614. 623f. Ob er dieses Amt noch 1523/24 innehatte, ist nicht klar."
10013,30.0,"Matho, ein reicher Anwalt, sowohl in den Satiren Juvenals als auch in den Epigrammen Martials."
10013,31.0,"Vermutlich Johann Fridinger, von 1510 bis 1527 Offizial unter Bischof <persName xmlns=""http://www.tei-c.org/ns/1.0"">Hugo von Hohenlandenberg</persName> und ab 1518 auch h&#228;ufig Vizegeneralvikar. Er war Dr. iur. utr. und Advokat der bisch&#246;flichen Kurie; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Helvetia Sacra</bibl> II/2 597."
10013,32.0,"Hofmeister; Verwalter. - Vermutlich Dr. iur. Georg Vergenhans, seit Juni 1520 Verwalter der Propstei. Im Januar 1523 hatte er zusammen mit <persName xmlns=""http://www.tei-c.org/ns/1.0"">Johannes Fabri</persName> an der ersten Z&#252;rcher Disputation teilgenommen. Am 10. September 1523 war er vom Kapitel zum Dekan gew&#228;hlt worden; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Helvetia Sacra</bibl> II/2 821f."
10013,33.0,"= plebano (Leutpriester, Dorfpfarrer). - Vgl. Müllers Unterschrift in seinem Brief an Zwingli vom 16. August 1522: „Iodocus Müller, plebeianus in Chamm ...“ (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">Z</bibl> VII 560)."
10013,34.0,"Vgl. Martial, Epigramme, 10, 37, 13f."
10013,35.0,Siehe dazu vielleicht unten Anm. 92.
10013,36.0,"Hier als indecoris zu verstehen; s. Thesaurus linguae Latinae, Bd. VII/1 1126f."
10013,37.0,Die Salier-Priester hielten jährlich im März beim Marskult mit ihren Schilden einen Umzug ab und führten dabei Waffentänze auf.
10013,38.0,"<bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 1, 2, 53 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/1 268, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10184"">Nr. 153</ref>)."
10013,39.0,"Vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 1, 1, 40f (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/1 154-156, Nr. 40f)."
10013,40.0,"Vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 1, 4, 35. 37 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/1 434- 436, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10367"">Nr. 335</ref>. 337); 1, 7, 22 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/2 146, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10660"">Nr. 622</ref>)."
10013,41.0,"Offenbar sind hier spöttische Gesten wie Eselsohren gemeint; vgl. etwa Persius, Satiren, 1, 58f."
10013,42.0,Zu verstehen: Stümper-Kapläne.
10013,43.0,"Bezogen auf „plebs“; vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Stotz</bibl> IV 149, Nr. 74.4."
10013,44.0,"Hier vielleicht im Sinne von dem durch ein Testament verfügtes Erbe. Vielleicht aber liegt hier eine Verschreibung für das Wort diaeteta (Schiedsrichter) vor, welches in diesem Zusammenhang als „Gastrokritiker“ zu verstehen wäre."
10013,45.0,"Theon, ein schmähsüchtiger Neider bei Horaz, Epistulae, 1, 18, 82; vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 2, 2, 55 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/3 171f, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file11198"">Nr. 1155</ref>)."
10013,46.0,"Vgl. Martial, Epigramme, 6, 34, 2f, sowie Iacopo Sannazaro, Ad amicam, 5, zitiert in: Eckard Lefèvre, Von Catull zu Du Bellay. Einige Gedanken zur neulateinischen Mittlerrolle zwischen antiker und neuzeitlicher Dichtung, in: Die neulateinische Dichtung in Frankreich zur Zeit der Pléiade - La Poésie néo-latine en France au temps de la Pléiade, hg. von Marie-France Guipponi-Gineste et al., Tübingen 2015, S. 131."
10013,47.0,Hier wohl im Sinne von Geschäfte.
10013,48.0,"Gemeinde; Kirchenvolk; vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Stotz</bibl> II 16f, Nr. 14.8."
10013,49.0,"Dienstmann; vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Stotz</bibl> I 406f, Nr. 29.15."
10013,50.0,"Attis, der Geliebte der phrygischen Göttin Kybele, der sich selbst kastrierte; s. Rosario Moreno Soldevila et al., A Prosopography to Martial’s Epigrams, Berlin/Boston 2019, S. 69f."
10013,51.0,Galli hießen die Priester der Kybele.
10013,52.0,Zu verstehen: phrygisch.
10013,53.0,"Bischof <persName xmlns=""http://www.tei-c.org/ns/1.0"">Hugo von Hohenlandenberg</persName>."
10013,54.0,"Gemeint ist <persName xmlns=""http://www.tei-c.org/ns/1.0"">Johannes Fabri</persName>. - Auch in der polemischen Schrift &#8222;Gyrenrupffen&#8220; (Das Geierrupfen), die einige Z&#252;rcher gegen ihn richteten, wurde er so bezeichnet; s. Artur Angst, Heigerlin oder Schmid? Der Familienname des in Leutkirch geborenen Wiener Bischofs und Kontroverstheologen Dr. <persName xmlns=""http://www.tei-c.org/ns/1.0"">Johannes Fabri</persName> (1478-1541), in: Rottenburger Jahrbuch f&#252;r Kirchengeschichte 3, 1984, S. 202."
10013,55.0,"Vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 1, 1, 67 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/1 176, Nr. 67)."
10013,56.0,Die Sechs als Würfelzahl.
10013,57.0,"= vult; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Stotz</bibl> IV 218f, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10156"">Nr. 125</ref>.2."
10013,58.0,= toris.
10013,59.0,"Vgl. Persius, Satiren, 4, 17."
10013,60.0,"= Lyaeus: Sorgenlöser, Beiname des Bacchus und des Weins."
10013,61.0,"Horaz, Sermones, 1, 5, 53."
10013,62.0,"Hier vermutlich aus prosodischen Gründen für omenta (fette Eingeweide) verwendet; vgl. Thesaurus linguae Latinae, Bd. IX/2, 578."
10013,63.0,"Anspielung auf Martial, Epigramme, 12, 48, 11."
10013,64.0,"Die phrygische Göttin Kybele (Magna Mater), deren Kult von ihren Galli-Priestern im April gefeiert wurde. Letztere werden auch öfters in Martials Epigrammen genannt, von denen sich Müller in der vorliegenden Dichtung immer wieder inspirieren ließ."
10013,65.0,"Besitz; Pfründe; s. etwa Peter Schuster, Ehre und Recht. Überlegungen zu einer Begriffsund Sozialgeschichte zweier Grundbegriffe der mittelalterlichen Gesellschaft, in: Ehrkonzepte in der Frühen Neuzeit. Identitäten und Abgrenzungen, hg. von Sibylle Bachmann et al., Berlin 1998, S. 42."
10013,66.0,"Vgl. Juvenal, Satiren, 5, 62."
