A Lasco, Opera	Opera tam edita quam inedita		Johannes a Lasco, Opera tam edita quam inedita, hg. v. Abraham Kuyper, 2 Bde., Amsterdam-Den Haag 1866.
ABaslerRef	Aktensammlung zur Geschichte der Basler Reformation in den Jahren 1519 bis Anfang 1534		Aktensammlung zur Geschichte der Basler Reformation in den Jahren 1519 bis Anfang 1534, hg. v. Emil Dürr und Paul Roth, 6 Bde., Basel 1921-1950.
ABernerRef	Aktensammlung zur Geschichte der Berner Reformation 1521-1532		Aktensammlung zur Geschichte der Berner Reformation 1521-1532, hg. v. Rudolf Steck und Gustav Tobler, 2 Bde., Bern 1923.
ACO	Acta Conciliorum Oecumenicorum		Acta Conciliorum Oecumenicorum, hg. v. Eduard Schwartz, 4 Bde., Berlin 1914-1984; Serie 2, Berlin 1984ff.
ADB	Allgemeine Deutsche Biographie		Allgemeine Deutsche Biographie, 55 Bde., Leipzig 1875-1910; Registerband, München/Leipzig 1912.
ADRG	Akten der deutschen Reichsreligionsgespräche im 16. Jahrhundert		Akten der deutschen Reichsreligionsgespräche im 16. Jahrhundert, hg. v. Klaus Ganzer und Karl-Heinz zur Mühlen, Göttingen 2000ff.
AHVB	Archiv des Historischen Vereins des Kantons Bern		Archiv des Historischen Vereins des Kantons Bern, Bern 1855ff.
AL	Augustinus-Lexikon		Augustinus-Lexikon, hg. v. Cornelius P. Mayer, Basel 1994ff.
ARCEG	Acta reformationis catholicae ecclesiam Germaniae concernentia saeculi XVI.		Acta reformationis catholicae ecclesiam Germaniae concernentia saeculi XVI., hg. v. Georg Pfeilschifter, 6 Bde., Regensburg 1959-1974.
ARG	Archiv für Reformationsgeschichte	40	Archiv für Reformationsgeschichte, Bde. 1-40, Berlin 1903/04-1943 (Nachdruck: Vaduz 1964); Bd. 41, Tübingen 1948 (Nachdruck: Nendeln 1968); Bde. 42ff, Gütersloh 1951ff.
ASD (Erasmus)	Opera omnia Desiderii Erasmi Roterodami		Opera omnia Desiderii Erasmi Roterodami, Amsterdam 1969ff.
ASG	Anzeiger für schweizerische Geschichte		Anzeiger für schweizerische Geschichte, Bern 1870-1920.
ASchweizerRef (ASchweizer)	Actensammlung zur Schweizerischen Reformationsgeschichte in den Jahren 1521-1532, im Anschluß an die gleichzeitigen eidgenössischen Abschiede		Actensammlung zur Schweizerischen Reformationsgeschichte in den Jahren 1521-1532, im Anschluß an die gleichzeitigen eidgenössischen Abschiede bearb. und hg. v. Johannes Strickler, 5 Bde., Zürich 1878-1884 (Nachdruck: Zürich 1989).
AZürcherRef	Actensammlung zur Geschichte der Zürcher Reformation in den Jahren 1519-1533		Actensammlung zur Geschichte der Zürcher Reformation in den Jahren 1519-1533, hg. v. Emil Egli, Zürich 1879 (Nachdruck: Nieuwkoop 1973).
Adagia	ASD II/1-9		Erasmus, Adagia, ASD II/1-9, Amsterdam 1981-2005.
Adam, Elsass	Evangelische Kirchengeschichte der elsässischen Territorien bis zur Französischen Revolution		Johann Adam, Evangelische Kirchengeschichte der elsässischen Territorien bis zur Französischen Revolution, Straßburg 1928.
Adam, Inventaire	Inventaire des archives du chapitre de Saint-Thomas de Strasbourg		Jean Adam, Inventaire des archives du chapitre de Saint-Thomas de Strasbourg, Straßburg 1937.
Adam, Straßburg (Adam)	Evangelische Kirchengeschichte der Stadt Straßburg bis zur Französischen Revolution		Johann Adam, Evangelische Kirchengeschichte der Stadt Straßburg bis zur Französischen Revolution, Straßburg 1922.
Adelung	Grammatisch-kritisches Wörterbuch der Hochdeutschen Mundart		Johann Christoph Adelung, Grammatisch-kritisches Wörterbuch der Hochdeutschen Mundart, 4 Bde., Leipzig 1793-1801 (Nachdruck: Hildesheim 1990).
Allen (Erasmus, Corr.)	Opus epistolarum Des. Erasmi Roterodami		Opus epistolarum Des. Erasmi Roterodami, hg. v. Percy Stafford Allen und Helen Marym Allen in Zusammenarbeit mit Heathcote William Garrod, 12 Bde., Oxford 1906-1958.
Amerbach Korr.	Die Amerbachkorrespondenz		Die Amerbachkorrespondenz, hg. v. Alfred Hartmann, Beat Rudolf Jenny u.a., 11 Bde., Basel 1942-2010.
Amerbachs Werkstatt	Aus der Werkstatt der Amerbach-Edition. Christoph Vischer zum 90. Geburtstag		Ueli Dill und Beat R. Jenny (mit einem Beitrag von Alfred R. Weber), Aus der Werkstatt der Amerbach-Edition. Christoph Vischer zum 90. Geburtstag, Basel 2000.
Amico cuidam	Loci Communes		Vermigli Pietro Martire and Robertus MASSONIUS. 1576. Petri Martyris Vermilii ... Loci Communes. Ex Variis Ipsius Authoris Libris in Unum Volumen Collecti&Quatuor Classes Distributi. [Edited by R. Massonius.]. Londini: Ex typographia I. Kyngstoni.
Anshelm, Chronik (Anshelm)	Die Berner-Chronik des Valerius Anshelm		Die Berner-Chronik des Valerius Anshelm, hg. v. Historischen Verein des Kantons Bern, 6 Bde., Bern 1884-1901.
AppenzellWB (Koller/Signer)	Appenzellisches Wappen- und Geschlechterbuch		Appenzellisches Wappen- und Geschlechterbuch, hg. v. Ernst H. Koller und Jakob Signer, Bern/Aarau 1926.
Appenzeller Urk.	Appenzeller Urkundenbuch	2	Appenzeller Urkundenbuch, Bd. 2, bearb. v. Traugott Schieß, Trogen 1934.
Arbusow	Colores Rhetorici. Eine Auswahl rhetorischer Figuren und Gemeinplätze als Hilfsmittel für akademische Übungen an mittelalterlichen Texten		Leonid Arbusow, Colores Rhetorici. Eine Auswahl rhetorischer Figuren und Gemeinplätze als Hilfsmittel für akademische Übungen an mittelalterlichen Texten, hg. V. Helmut Peter, Göttingen 1963.
Aretino, Opere	Edizione nazionale delle opere di Pietro Aretino		Edizione nazionale delle opere di Pietro Aretino, Rom 1992ff.
