letter_id,edition,n_footnote,n_sentence,xml_footnote,xml_sentence,text_footnote,text_sentence,len_footnote,pos_footnote,label
10013,20,3,2,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn3"" type=""footnote"" n=""3""><persName ref=""p9709"" cert=""high"">Wolfgang Joner, gen. Rüplin</persName>, Abt des Zisterzienserklosters Kappel am Albis. - Er gründete die Klosterschule und ernannte am 17. Januar 1523 Bullinger zu deren Schulmeister; s. <bibl>HBBW</bibl> I <ref target=""file10017"">[Nr. 2]</ref> 48f, Anm. 4.</note> ac suis fratribus, tum singulis de sodalicio, foelicius obtigerit?","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""2"" xml:lang=""la"" type=""auto"">Quid in hoc ęvo litteratissimo te iuvene venerando patri Volffgango Ruͤppli<note xml:id=""fn3"" type=""footnote"" n=""3""><persName ref=""p9709"" cert=""high"">Wolfgang Joner, gen. Rüplin</persName>, Abt des Zisterzienserklosters Kappel am Albis. - Er gründete die Klosterschule und ernannte am 17. Januar 1523 Bullinger zu deren Schulmeister; s. <bibl>HBBW</bibl> I <ref target=""file10017"">[Nr. 2]</ref> 48f, Anm. 4.</note> ac suis fratribus, tum singulis de sodalicio, foelicius obtigerit?</s>","Wolfgang Joner, gen. Rüplin, Abt des Zisterzienserklosters Kappel am Albis. - Er gründete die Klosterschule und ernannte am 17. Januar 1523 Bullinger zu deren Schulmeister; s. HBBW I [Nr. 2] 48f, Anm. 4. ac suis fratribus, tum singulis de sodalicio, foelicius obtigerit?","Quid in hoc ęvo litteratissimo te iuvene venerando patri Volffgango Ruͤppli__3 ac suis fratribus, tum singulis de sodalicio, foelicius obtigerit?",42,10,self_ref
10013,20,4,3,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn4"" type=""footnote"" n=""4"">Vgl. dazu etwa Bullingers Aufzeichnungen über seine Lektüre während seiner Schul- und Studienzeit sowie als Lehrer im Kloster Kappel in <bibl>HBD</bibl> 2-8.</note> quibus et tuum excercites","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""3"" xml:lang=""la"" type=""auto"">Est profecto nihil, cui in promptu sint tot volumina a summis autoribus ędita,<note xml:id=""fn4"" type=""footnote"" n=""4"">Vgl. dazu etwa Bullingers Aufzeichnungen über seine Lektüre während seiner Schul- und Studienzeit sowie als Lehrer im Kloster Kappel in <bibl>HBD</bibl> 2-8.</note> quibus et tuum excercites<note xml:id=""fn5"" type=""footnote"" n=""5"">= exercites.</note> ingenium, quod tibi est in numerato, ut alias taceam dotes (invidia dictis absit!) sane quam pręclaras.</s>",Vgl. dazu etwa Bullingers Aufzeichnungen über seine Lektüre während seiner Schul- und Studienzeit sowie als Lehrer im Kloster Kappel in HBD 2-8. quibus et tuum excercites,"Est profecto nihil, cui in promptu sint tot volumina a summis autoribus ędita,__4 quibus et tuum excercites__5 ingenium, quod tibi est in numerato, ut alias taceam dotes (invidia dictis absit!) sane quam pręclaras.",26,12,misc
10013,20,5,3,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn5"" type=""footnote"" n=""5"">= exercites.</note> ingenium, quod tibi est in numerato, ut alias taceam dotes (invidia dictis absit!) sane quam pręclaras.","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""3"" xml:lang=""la"" type=""auto"">Est profecto nihil, cui in promptu sint tot volumina a summis autoribus ędita,<note xml:id=""fn4"" type=""footnote"" n=""4"">Vgl. dazu etwa Bullingers Aufzeichnungen über seine Lektüre während seiner Schul- und Studienzeit sowie als Lehrer im Kloster Kappel in <bibl>HBD</bibl> 2-8.</note> quibus et tuum excercites<note xml:id=""fn5"" type=""footnote"" n=""5"">= exercites.</note> ingenium, quod tibi est in numerato, ut alias taceam dotes (invidia dictis absit!) sane quam pręclaras.</s>","= exercites. ingenium, quod tibi est in numerato, ut alias taceam dotes (invidia dictis absit!) sane quam pręclaras.","Est profecto nihil, cui in promptu sint tot volumina a summis autoribus ędita,__4 quibus et tuum excercites__5 ingenium, quod tibi est in numerato, ut alias taceam dotes (invidia dictis absit!) sane quam pręclaras.",18,16,lex
10013,20,6,4,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn6"" type=""footnote"" n=""6"">Die Rede ist hier von handschriftlichen Abhandlungen (die ersten gedruckten Schriften aus Bullingers Feder sind erst 1526 erschienen; s. <bibl>HBBibl</bibl> I 3f). In seinem Diarium listet Bullinger die von ihm in Kappel (1523-1529) verfassten Schriften auf (s. <bibl>HBD</bibl> 13-16), von denen die eine oder andere bereits in Dezember 1523 fertiggestellt worden sein könnte, und beendet seine Aufzählung mit folgender Angabe: „Anno Domini 1520 latine scripsimus duos dialogos adversus scholasticos theologos, duos item adversus Pipericornum [Johannes alias Josef Pfefferkorn] pro Ioanne Reuchlino, unum quoque, quem „Promotores“ nuncupavimus. Hos omnes latine scripsimus.“</note> venerit in manus cuiusque doctissimi, non minus istic artium bonarum quam eruditionis ad veram pietatem ","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""4"" xml:lang=""la"" type=""auto"">Quicquid etiam lucubrationum tuarum<note xml:id=""fn6"" type=""footnote"" n=""6"">Die Rede ist hier von handschriftlichen Abhandlungen (die ersten gedruckten Schriften aus Bullingers Feder sind erst 1526 erschienen; s. <bibl>HBBibl</bibl> I 3f). In seinem Diarium listet Bullinger die von ihm in Kappel (1523-1529) verfassten Schriften auf (s. <bibl>HBD</bibl> 13-16), von denen die eine oder andere bereits in Dezember 1523 fertiggestellt worden sein könnte, und beendet seine Aufzählung mit folgender Angabe: „Anno Domini 1520 latine scripsimus duos dialogos adversus scholasticos theologos, duos item adversus Pipericornum [Johannes alias Josef Pfefferkorn] pro Ioanne Reuchlino, unum quoque, quem „Promotores“ nuncupavimus. Hos omnes latine scripsimus.“</note> venerit in manus cuiusque doctissimi, non minus istic artium bonarum quam eruditionis ad veram pietatem <pb type=""edition"" next=""734""/> copia resplendet.</s>","Die Rede ist hier von handschriftlichen Abhandlungen (die ersten gedruckten Schriften aus Bullingers Feder sind erst 1526 erschienen; s. HBBibl I 3f). In seinem Diarium listet Bullinger die von ihm in Kappel (1523-1529) verfassten Schriften auf (s. HBD 13-16), von denen die eine oder andere bereits in Dezember 1523 fertiggestellt worden sein könnte, und beendet seine Aufzählung mit folgender Angabe: „Anno Domini 1520 latine scripsimus duos dialogos adversus scholasticos theologos, duos item adversus Pipericornum [Johannes alias Josef Pfefferkorn] pro Ioanne Reuchlino, unum quoque, quem „Promotores“ nuncupavimus. Hos omnes latine scripsimus.“ venerit in manus cuiusque doctissimi, non minus istic artium bonarum quam eruditionis ad veram pietatem ","Quicquid etiam lucubrationum tuarum__6 venerit in manus cuiusque doctissimi, non minus istic artium bonarum quam eruditionis ad veram pietatem  copia resplendet.",105,3,bibl
10013,20,7,6,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn7"" type=""footnote"" n=""7"">Cicero, Tusculanae disputationes, 1, 2, 4.</note>","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""6"" xml:lang=""la"" type=""auto"">Iacentque ea semper, quę apud quosque improbantur.“<note xml:id=""fn7"" type=""footnote"" n=""7"">Cicero, Tusculanae disputationes, 1, 2, 4.</note></s>","Cicero, Tusculanae disputationes, 1, 2, 4.","Iacentque ea semper, quę apud quosque improbantur.“__7",6,6,misc
10013,20,8,7,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn8"" type=""footnote"" n=""8""><cit type=""bible""><ref>1Kor 2, 2</ref></cit>.</note>","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""7"" xml:lang=""la"" type=""auto"">Sis evectus licet pene ad culmen doctrinarum, nil tamen arrogas tibi iactabundus, pręterquam scire Christum et hunc cruci suffixum.<note xml:id=""fn8"" type=""footnote"" n=""8""><cit type=""bible""><ref>1Kor 2, 2</ref></cit>.</note></s>","1Kor 2, 2.","Sis evectus licet pene ad culmen doctrinarum, nil tamen arrogas tibi iactabundus, pręterquam scire Christum et hunc cruci suffixum.__8",3,18,short
10013,20,9,12,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn9"" type=""footnote"" n=""9"">Siehe <persName ref=""p18991"" cert=""high"">Plinius d.Ä.</persName>, Naturalis historia, 10, 63.</note>","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""12"" xml:lang=""la"" type=""auto"">De quibus ipse periculum feci Plinium vera scripsisse, dum illos in morte flebilem cantum emittere subindicavit.<note xml:id=""fn9"" type=""footnote"" n=""9"">Siehe <persName ref=""p18991"" cert=""high"">Plinius d.Ä.</persName>, Naturalis historia, 10, 63.</note></s>","Siehe Plinius d.Ä., Naturalis historia, 10, 63.","De quibus ipse periculum feci Plinium vera scripsisse, dum illos in morte flebilem cantum emittere subindicavit.__9",7,15,misc
10013,20,10,13,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn10"" type=""footnote"" n=""10"">Vgl. <cit type=""bible""><ref>Gal 2, 20</ref></cit>.</note> cui tuto fides deponitur, de quibus te admonere non est opus.","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""13"" xml:lang=""la"" type=""auto"">Ita et tu nacta occasione defleas elegiaco carmine aut soluta oratione tempora, quę durant, periculosa, quę quidem ipse nihil moror, si vivat in me Christus,<note xml:id=""fn10"" type=""footnote"" n=""10"">Vgl. <cit type=""bible""><ref>Gal 2, 20</ref></cit>.</note> cui tuto fides deponitur, de quibus te admonere non est opus.</s>","Vgl. Gal 2, 20. cui tuto fides deponitur, de quibus te admonere non est opus.","Ita et tu nacta occasione defleas elegiaco carmine aut soluta oratione tempora, quę durant, periculosa, quę quidem ipse nihil moror, si vivat in me Christus,__10 cui tuto fides deponitur, de quibus te admonere non est opus.",15,24,misc
10013,20,11,15,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn11"" type=""footnote"" n=""11""><cit type=""bible""><ref>Hebr 4, 12</ref></cit>.</note> quod innovat animum peccatoris et facit redire in gratiam cum deo.","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""15"" xml:lang=""la"" type=""auto"">Vivax est enim verbum dei et efficax,<note xml:id=""fn11"" type=""footnote"" n=""11""><cit type=""bible""><ref>Hebr 4, 12</ref></cit>.</note> quod innovat animum peccatoris et facit redire in gratiam cum deo.</s>","Hebr 4, 12. quod innovat animum peccatoris et facit redire in gratiam cum deo.","Vivax est enim verbum dei et efficax,__11 quod innovat animum peccatoris et facit redire in gratiam cum deo.",14,6,misc
10013,20,12,16,"<note xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""fn12"" type=""footnote"" n=""12"">Vergil, Aeneis, 6, 743.</note>","<s xmlns=""http://www.tei-c.org/ns/1.0"" n=""16"" xml:lang=""la"" type=""auto"">Quisque suos patimur manes.<note xml:id=""fn12"" type=""footnote"" n=""12"">Vergil, Aeneis, 6, 743.</note></s>","Vergil, Aeneis, 6, 743.",Quisque suos patimur manes.__12,4,3,short
