letter_id,n_footnote,generated_footnote,xml_footnote,label,bleu_with,rouge_with,bleu_without,rouge_without,bert_with,bert_without
11941,5,"Siehe dazu <ref target=""file11936"">Nr. 1890</ref>, Anm. 2.","Vgl. <bibl>HBBW XIII</bibl> 334, 10-14.",short,0.0,0.0,0.0,0.0,0.6728499531745911,0.7040384411811829
12561,60,"<persName ref=""p8418"" cert=""high"">Haller</persName>. -Siehe <bibl>HBBW</bibl> XVII 291, Anm. 10. -Zur Übermittlung des Schreibens durch <persName ref=""p8051"" cert=""high"">Ruman Ruman</persName> s. <bibl>HBBW</bibl> XVII 290, Anm. 5.","Gemeint ist Bullinger; vgl. <ref target=""file12511"">Nr. 2464</ref>,45f.",misc,0.0,0.0851063829787234,0.0,0.0,0.6624558568000793,0.6620838642120361
10650,2,"Vgl. <bibl>HBBW</bibl> IV <ref target=""file10112"">[Nr. 81]</ref>, S. 84, Anm. 12.","Wer noch, außer <persName ref=""p5618"" cert=""high"">Heinrich Lavater</persName> und <persName ref=""p8459"" cert=""high"">Otto Werdmüller</persName>, als Kostgänger bei <persName ref=""p315"" cert=""high"">Jakob Bedrot</persName> wohnte, ist nicht bekannt.",missing,0.0,0.07547169811320754,0.0,0.0,0.6397799253463745,0.5537638664245605
11941,8,"<persName ref=""p467"" cert=""high"">Bucer</persName> bezieht sich auf oben <ref target=""file11936"">Nr. 1890</ref>, 1-9.","Wahrscheinlich eine Anspielung seitens <persName ref=""p1227"" cert=""high"">Froschauers</persName> auf <persName ref=""p1278"" cert=""high"">Gasts</persName> Vorhaben bzw. Wunsch in <placeName ref=""l28"" cert=""high"">Basel</placeName>; s. oben <ref target=""file11919"">Nr. 1873</ref>, 11f.",misc,0.1840869988673178,0.37931034482758624,0.0,0.23076923076923078,0.7826387286186218,0.7035514116287231
12561,43,"Siehe dazu <ref target=""file12544"">Nr. 2497</ref>,<ptr target=""qvzl17157-1"" type=""qv""/>.","Die Klause Ehrenberg; s. <ref target=""file12545"">Nr. 2498</ref>, Anm. 96.",misc,0.26920508809559307,0.30769230769230765,0.0,0.16666666666666666,0.7946555614471436,0.7189510464668274
11507,22,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Epist. 52, 3 (<bibl>CSEL</bibl> LIV 234, 1f).","Vgl. <cit type=""bible""><ref>Lk 21. 19</ref></cit>.",bible,0.0,0.07692307692307693,0.0,0.0,0.7391295433044434,0.691752016544342
11941,10,"<persName ref=""p467"" cert=""high"">Bucer</persName> bezieht sich auf seine ""Warhaffte Bekanntnuß""; s. <bibl>HBBW</bibl> XI <ref target=""file10124"">[Nr. 122]</ref> 7, Anm. 2.","Vgl. besonders <bibl>HBBW XIII</bibl> 295, 34-58. 364, 282-285.",misc,0.08235033082701368,0.15384615384615383,0.0,0.08,0.6487410068511963,0.6736580729484558
11507,12,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Epist. 112, 16, 2 (<bibl>CSEL</bibl> LV 386, 11f).","Zeph 1, 4f.",short,0.0,0.0,0.0,0.0,0.6357794404029846,0.750571072101593
11941,9,"<persName ref=""p467"" cert=""high"">Bucer</persName> bezieht sich auf Bullingers Brief vom 18. März 1544 (oben <ref target=""file11920"">Nr. 1874</ref>, bes. Z. 2-4).","Vgl. oben <ref target=""file11920"">Nr. 1874</ref>, 14-16 und Anm. 6.",inner_ref,0.3047058044921941,0.3414634146341463,0.15663915411954296,0.2222222222222222,0.7886843681335449,0.7189790606498718
12561,10,"Vgl. <bibl>HBBW</bibl> XVII 311, Anm. 6.",der Landessitte und - sprache entsprechend.,misc,0.0,0.0,0.0,0.0,0.5491992831230164,0.5588293075561523
11941,16,"<persName ref=""p8051"" cert=""high"">Ambrosius</persName>, De sacramentis, 1, 6, 31 (<bibl>CChr-L</bibl> CXCII 7f). -Vgl. <bibl>HBBW</bibl> XI 182, 10-12 mit Anm. 5. -Zur Verkündung des Gotteswortes durch die Kirche s. <bibl>HBBW</bibl> XI <ref target=""file11818"">[Nr. 1773]</ref> 154, 1-7 mit Anm. 2f. 154, 17-19. 154, 27-29. 154, 31-35. 155, 1-155, Vgl. <bibl>HBBW</bibl> XI 182, 10-12 mit Anm. 5. -Zur Verkündung des Gotteswortes durch die Kirche s. <bibVgl. <bibl>HBBW</bibl> XI <ref target=""file11818"">[Nr. 1773]</ref> 154, ","Zur Zusammensetzung der Fürstenkurie s. Rosemarie <hi>Aulinger,</hi> Das Bild des Reichstages im 16. Jahrhundert. Beiträge zu einer typologischen Analyse schriftlicher und bildlicher Quellen, Göttingen 1980. - Schriftenreihe der Historischen Kommission bei der Bayerischen Akademie der Wissenschaften 18, S. 104-108.",misc,0.0,0.05633802816901408,0.0,0.06956521739130435,0.5780642032623291,0.5606086850166321
12561,23,"<persName ref=""p8051"" cert=""high"">Blarer</persName> bezieht sich auf oben <ref target=""file12559"">Nr. 2512</ref>, 2-4.","<persName ref=""p1410"" cert=""high"">Jakob Herbrot</persName>. - Der Brief findet sich nicht in <hi><persName ref=""p8055"" cert=""high"">Blarer</persName> BW.</hi> Mit diesem Schreiben erhielt <persName ref=""p8055"" cert=""high"">Blarer</persName> Herbrots Erlaubnis, <persName ref=""p8472"" cert=""high"">Hofherr</persName> aus Zürich abzurufen; vgl. <ref target=""file12552"">Nr. 2505</ref>,68f: <ref target=""file12560"">Nr. 2513</ref>,38-48.",misc,0.05460272452229678,0.2650602409638554,0.0,0.15384615384615383,0.8146066665649414,0.721675455570221
11507,8,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Adversus Helvetios libri duo, 2, 2 (<bibl>MPL</bibl> XXIII 181, 5f).","Vgl. bes. <persName ref=""p18988"" cert=""high"">Cyprian</persName>, Epist. 63, 10, 2-11, 1 und 14, 1-3 (CChr III C 402f. 408f).",misc,0.283486005256326,0.27906976744186046,0.0,0.06896551724137931,0.8135501146316528,0.7561673521995544
11507,18,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Epist. 51, 14 (<bibl>CSEL</bibl> LV 188, 8f).","<persName ref=""p17899"" cert=""high"">Eusebius von Caesarea</persName>, Historia ecclesiastica, 6, 38(!)(SChr XLI 140).",misc,0.34826597435629214,0.3125,0.0,0.0,0.8444185853004456,0.8016473650932312
12561,62,"Siehe dazu <ref target=""file12561"">Nr. 2514</ref>, Anm. 1.","Ein solcher Brief findet sich nicht in <hi><persName ref=""p8055"" cert=""high"">Blarer</persName></hi> BW.",misc,0.0,0.07407407407407408,0.0,0.0,0.7176819443702698,0.6359409093856812
12561,70,"<persName ref=""p8051"" cert=""high"">Blarer</persName> bezieht sich auf den oben <ref target=""file12558"">Nr. 2511</ref>, 21-25 erwähnten Brief an <persName ref=""p8051"" cert=""high"">Blarer</persName>.","Vgl. <bibl>PC</bibl> IV/1 275-277, Nr. <hi>258; Fischer, Chronik</hi> 126.",misc,0.0,0.043478260869565216,0.0,0.07692307692307691,0.6177613735198975,0.6512631177902222
11507,9,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Epist. 112, 18, 2 (<bibl>CSEL</bibl> LV 388, 3-6).","<persName ref=""p18988"" cert=""high"">Cyprian</persName>, Epist. 43, 5, 2 (CChr III B 205).",misc,0.38709272814734097,0.42424242424242425,0.0,0.2105263157894737,0.882169246673584,0.8769559264183044
11941,21,"Vgl. Adagia, 1, 1, 15 (<bibl>ASD</bibl> II/1 141, <ref target=""file10084"">Nr. 151</ref>; vgl. <bibl>Adagia</bibl>, 1, 5, 20 (<bibl>ASD</bibl> II/1 228f, <ref target=""file10120"">Nr. 171</ref>).","Vgl. <cit type=""bible""><ref>Apg 14, 14</ref></cit>.",bible,0.05225492278126774,0.13043478260869565,0.0,0.07692307692307693,0.7116084098815918,0.7421268224716187
12561,5,"Siehe <bibl>HBBW</bibl> XVI 512, Anm. 1.","Dies war aber nicht die Meinung aller; s. Peer <hi>Frieß,</hi> Die Außenpolitik der Reichsstadt <placeName ref=""l320"" cert=""high"">Memmingen</placeName> in der Reformationszeit (1517-1555), <placeName ref=""l320"" cert=""high"">Memmingen</placeName> 1993 - Memminger Forschungen 4, S. 197.",misc,0.0,0.0,0.0,0.0,0.6358850598335266,0.6147025227546692
11941,11,"<persName ref=""p8051"" cert=""high"">Ambrosius</persName>, De spiritu sancto, 4, 1 (<bibl>CSEL</bibl> LXXXI 230, 3-5).","Vgl. oben <ref target=""file11920"">Nr. 1874</ref>, 17-19.",inner_ref,0.0,0.06896551724137931,0.0,0.0,0.7058932185173035,0.6544914245605469
11507,17,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Epist. 112, 16, 2 (<bibl>CSEL</bibl> LV 386, 11f).","Die Religionsgemeinschaft der Elkesaiten, eine judenchristliche Täufergemeinschaft mit synkretistischen Zügen, geht auf <persName ref=""p19973"" cert=""high"">Elkasai</persName> zurück, dessen Offenbarungsbuch etwa um 115 n. Chr. entstand. Anhänger <persName ref=""p19973"" cert=""high"">Elkasais</persName> lebten noch im 10. Jahrhundert im Vorderen Orient. Vgl. Jürgen <hi>Wehnert,</hi> in: LThK<note type=""sup"">3",misc,0.08043576409185049,0.12987012987012986,0.0,0.0,0.6954544186592102,0.6080167293548584
11507,13,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Adversus Helvidium, 18, 20 (<bibl>CChr</bibl> LIV 521).","Die reformatorische Betonung der Einmaligkeit des Opfers Christi stützt sich insbesondere auf <cit type=""bible""><ref>Hebr 7, 27</ref></cit>; <cit type=""bible""><ref>9, 24-28.</ref></cit>",bible,0.0,0.0425531914893617,0.0,0.0,0.6763789057731628,0.6423857808113098
11941,12,"<persName ref=""p8051"" cert=""high"">Blarer</persName> hatte damals schon an <persName ref=""p8051"" cert=""high"">Blarer</persName> geschrieben; s. <bibl>HBBW</bibl> XIV 556, 1-3 und Anm. 2. -Zu ergänzen: neque. - Siehe dazu zuletzt oben <ref target=""file11941"">Nr. 1895</ref>, 2-4.","Oben <ref target=""file11920"">Nr. 1874</ref>, 20-28.",inner_ref,0.10011623184888808,0.1818181818181818,0.0,0.12121212121212122,0.7260521650314331,0.6577699780464172
11507,19,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Commentarii in epistolas Pauli ad Corinthios, 1, 14 (<bibl>CChr</bibl> LXXVIII 28).","Bullinger, Commentarius in priorem Pauli ad Corinthios epistolam, Zürich 1534 (<bibl>HBBibl</bibl> I 53), f. 91v.-126r. (""An liceat sacris communicare prophanis?"").",bibl,0.1588398949727153,0.2727272727272727,0.0,0.23529411764705885,0.7165302038192749,0.7405491471290588
11507,15,"<persName ref=""p6355"" cert=""high"">Hieronymus</persName>, Epist. 112, 16, 2 (<bibl>CSEL</bibl> LV 386, 11f).","Vgl. <cit type=""bible""><ref>Joh 4, 23f</ref></cit>.",bible,0.0,0.07407407407407408,0.0,0.0,0.7444459795951843,0.7613901495933533
11941,23,"<persName ref=""p8051"" cert=""high"">Ambrosius</persName>, De sacramentis, 3, 2, 3 (<bibl>CSEL</bibl> LXXXII 130, 18). -Vgl. <persName ref=""p467"" cert=""high"">Bucers</persName> Verweise in <cit type=""bible""><ref>1Sam 7, 6</ref></cit>; <cit type=""bible""><ref>8, 18</ref></cit>; <cit type=""bibleVgl. <cit type=""bible""><ref>Mt 18, 21</ref></cit>.","Vgl. <cit type=""bible""><ref>Röm 3, 23</ref></cit>.",bible,0.1317230960102024,0.23529411764705882,0.0,0.14814814814814814,0.7676779627799988,0.741422176361084
