letter_id,n_footnote,generated_footnote,xml_footnote,bleu_without,rouge_without,bleu_with,rouge_with,bert_with,bert_without
11941,5,"<persName ref=""p1974"" cert=""high"">Lutheri</persName> Brief an Bullinger vom 18. März 1544 (oben <ref target=""file11920"">Nr. 1874</ref>, bes. Z. 1-3).","Vgl. <bibl>HBBW XIII</bibl> 334, 10-14.",0.0,0.0,0.0,0.0,0.6493882536888123,0.655160129070282
12561,60,"Der Landgraf von Hessen hat sich sehr für uns eingesetzt und hat uns geholfen, unsere Angelegenheiten zu regeln.","Gemeint ist Bullinger; vgl. <ref target=""file12511"">Nr. 2464</ref>,45f.",0.0,0.0,0.0,0.0,0.5434873700141907,0.582737922668457
10650,2,"Zum Tod von <persName ref=""p5618"" cert=""high"">Heinrich Lavater</persName> vgl. auch oben <ref target=""file10649"">Nr. 611</ref>.","Wer noch, außer <persName ref=""p5618"" cert=""high"">Heinrich Lavater</persName> und <persName ref=""p8459"" cert=""high"">Otto Werdmüller</persName>, als Kostgänger bei <persName ref=""p315"" cert=""high"">Jakob Bedrot</persName> wohnte, ist nicht bekannt.",0.0,0.13333333333333333,0.2460240609302602,0.3448275862068966,0.8103996515274048,0.6813468933105469
11941,8,"<persName ref=""p2442"" cert=""high"">Oecolampadii</persName> schrieb in dieser Zeit nicht nur gegen Bullinger, sondern auch gegen Luther und Zwingli.","Wahrscheinlich eine Anspielung seitens <persName ref=""p1227"" cert=""high"">Froschauers</persName> auf <persName ref=""p1278"" cert=""high"">Gasts</persName> Vorhaben bzw. Wunsch in <placeName ref=""l28"" cert=""high"">Basel</placeName>; s. oben <ref target=""file11919"">Nr. 1873</ref>, 11f.",0.0,0.0625,0.07649050462684193,0.2,0.7061737775802612,0.6060656905174255
12561,43,"Die Clüß ist wol besetzt und gnuͦgsam versechen, das die druff sy hoffend zuͦ erhalten, alls sy schribend.","Die Klause Ehrenberg; s. <ref target=""file12545"">Nr. 2498</ref>, Anm. 96.",0.0,0.07407407407407407,0.0,0.06451612903225808,0.5609810948371887,0.5954573750495911
11507,22,"1 Cor. 13, 3: ""Si autem etiam lingua hominum scientia et eloquentia defecerit, amor autem manet, quae linguis non sunt, et cognitio, quae non intuetur. 3. Et si etiam mens nostra et sapientia deficerint, tamen caritas est, quae patientia et benignitate et mansuetudine, et afficitur et non irascitur, 4. Non in iniquitate invenitur, sed in timore Dei, 5. Non in seditione, sed in caritate, 6. Non in aemulatione, sed in benignitate, 7. Non in contentione, sed in mansuetudine, 8. Non in avaritia, sed in liberalitate, 9. Non in malitia, sed in veritate, 10. Non in emulatio, sed in pacem, 11. Et in caelo et in terra, 12. Quae in parte non sunt, quae autem sunt, in pace, 13. Quae in parte non sunt, quae autem sunt, in gaudio, ","Vgl. <cit type=""bible""><ref>Lk 21. 19</ref></cit>.",0.0,0.0,0.0,0.0,0.505409300327301,0.5113176107406616
11941,10,"In Fußnote 10 schlage ich folgenden Text vor:

""Debebas aut nos docere in ea inesse, quod a verbo dei discrepet, aut illum monere, ut a nobis se non alienaret in participatione mensae domini.""

Übersetzung: ""Du musst uns lehren, dass in unserer Konfession ein Verstoß gegen das Wort Gottes besteht, oder ihn warnen, sich nicht von uns im Genuss des Herrnmahls absondern zu lassen.""","Vgl. besonders <bibl>HBBW XIII</bibl> 295, 34-58. 364, 282-285.",0.0,0.0,0.0,0.0,0.5052913427352905,0.5201194286346436
11507,12,"Sofonias 3, 5.","Zeph 1, 4f.",0.0,0.0,0.0,0.0,0.7158777713775635,0.7158777713775635
11941,9,"<persName ref=""p1974"" cert=""high"">Lutherum</persName> bezieht sich auf Martin Luther.","Vgl. oben <ref target=""file11920"">Nr. 1874</ref>, 14-16 und Anm. 6.",0.0,0.0,0.0,0.08,0.6836820244789124,0.5795242190361023
12561,10,"""wie wir das Schreiben völlig blass und landschaftlich stellen, als wir es stellen, auch sonst völlig blass und landschaftlich usstrichen, etc.""",der Landessitte und - sprache entsprechend.,0.0,0.07142857142857142,0.0,0.07142857142857142,0.5896871089935303,0.5896871089935303
11941,16,"""Scriptum sane est: „Probet se ipsum homo et sic de pane illo edat“ <cit type=""bible""><ref>[1Kor 11, 28]</ref></cit>; at non est scriptum, ut quis a communione eius ecclesiae sese subducat, quam non potest ostendere in vitio esse in iis, quae ad professionem evangelii et sacramentorum dispensationem pertinent.""

Diese Fußnote bezieht sich auf die Aussage des Apostels Paulus in 1 Kor 11,28, dass jeder Mensch sich selbst bewerten und sich von dem Brot des Herrn nehmen soll. Bullinger betont jedoch, dass es keine Schriftstelle gibt, die es einem Menschen erlaubt, sich von der Gemeinschaft der Kirche abzusondern, wenn es um die Dispensation der Sakramente geht.","Zur Zusammensetzung der Fürstenkurie s. Rosemarie <hi>Aulinger,</hi> Das Bild des Reichstages im 16. Jahrhundert. Beiträge zu einer typologischen Analyse schriftlicher und bildlicher Quellen, Göttingen 1980. - Schriftenreihe der Historischen Kommission bei der Bayerischen Akademie der Wissenschaften 18, S. 104-108.",0.0,0.0684931506849315,0.0,0.06493506493506494,0.573883056640625,0.5682012438774109
12561,23,"Herrbrot von Augsburg, des Dieners, auf Sonntag bei mir gewesen.","<persName ref=""p1410"" cert=""high"">Jakob Herbrot</persName>. - Der Brief findet sich nicht in <hi><persName ref=""p8055"" cert=""high"">Blarer</persName> BW.</hi> Mit diesem Schreiben erhielt <persName ref=""p8055"" cert=""high"">Blarer</persName> Herbrots Erlaubnis, <persName ref=""p8472"" cert=""high"">Hofherr</persName> aus Zürich abzurufen; vgl. <ref target=""file12552"">Nr. 2505</ref>,68f: <ref target=""file12560"">Nr. 2513</ref>,38-48.",0.0,0.0,0.0,0.0,0.5308207273483276,0.6037709712982178
11507,8,"Cyprianus, Epistulae 64, 17, 1 (CSEL III, 1, 184, 1f).","Vgl. bes. <persName ref=""p18988"" cert=""high"">Cyprian</persName>, Epist. 63, 10, 2-11, 1 und 14, 1-3 (CChr III C 402f. 408f).",0.0,0.21428571428571427,0.0,0.17647058823529413,0.7485570311546326,0.8342244029045105
11507,18,"Eusebii, Ecclesiast. Hist. lib. 6, cap. 28 (ed. Schenkl, 1909, 154, 1-2).","<persName ref=""p17899"" cert=""high"">Eusebius von Caesarea</persName>, Historia ecclesiastica, 6, 38(!)(SChr XLI 140).",0.0,0.08695652173913043,0.0,0.06896551724137931,0.6646872162818909,0.760491669178009
12561,62,Inhalt des Brieffs an die Aidgnosischen Knecht.,"Ein solcher Brief findet sich nicht in <hi><persName ref=""p8055"" cert=""high"">Blarer</persName></hi> BW.",0.0,0.0,0.0,0.0,0.5459495782852173,0.6497729420661926
12561,70,"Die von Frankfurt habend dem Kaiser niedergelegt etliche und tausend Haken, auch Harnasch für tausend Mann, und etliche hundert Tonnen Pulver.","Vgl. <bibl>PC</bibl> IV/1 275-277, Nr. <hi>258; Fischer, Chronik</hi> 126.",0.0,0.0,0.0,0.0,0.5171844363212585,0.535307765007019
11507,9,"<persName ref=""p18988"" cert=""high"">Cyprianus</persName>, Epist. 63, 18, 2 (<bibl>CSEL</bibl> III 2, 234, 14f).","<persName ref=""p18988"" cert=""high"">Cyprian</persName>, Epist. 43, 5, 2 (CChr III B 205).",0.0,0.3157894736842105,0.46200811674205144,0.5454545454545454,0.9133909344673157,0.9265038371086121
11941,21,"Dies ist eine mögliche Fassung für Fussnote n=21:

<note xml:id=""fn21"" type=""footnote"" n=""21"">Die von Bullinger hier erwähnte ""conversio ad Dominum"" ist eine Anspielung auf die Idee, dass die Christen sich auf Gott verlassen und sich nicht auf die menschlichen Konflikte und Konstruktionen verlassen sollten. Dies ist ein zentraler Aspekt der reformatorischen Theologie und ein wichtiger Teil des Briefes von Bucer.","Vgl. <cit type=""bible""><ref>Apg 14, 14</ref></cit>.",0.0,0.0,0.0,0.02564102564102564,0.626316487789154,0.5745608806610107
