letter_id,footnote_n,generated_footnote,prompt_tokens,completion_tokens
10327,2,"Siehe dazu W. von W. (Hrsg.), ""Die Briefe Heinrich Bullingers"", Bd. 1, Zürich 1920, S. 148-150, wo die Schwierigkeiten beschrieben werden, die Bullinger in der damaligen politischen Situation erlebte.",2808,56
10327,5,"Der Begriff ""Cerberus"" bezieht sich in diesem Kontext auf eine Metapher für einen Wächter oder Hüter, der unliebsame Personen davon abhält, in Machtpositionen zu gelangen; in der Antike wurde Cerberus als der dreiköpfige Hund dargestellt, der den Eingang zur Unterwelt bewacht. Bullinger beschreibt damit wahrscheinlich jemand bestimmten, der als besonders rigide oder rigoros angesehen wird, wobei die Wortwahl humorvoll oder ironisch gemeint sein könnte.",2808,103
10650,2,"Die Erwähnung des „convictorum“ bezieht sich auf die Kommilitonen und Mitbewohner von Lavater, mit denen er im gleichen Haus lebte. In der theologischen Gemeinschaft der Reformatoren war der Austausch und die Unterstützung unter den Studenten und Gelehrten von großer Bedeutung, insbesondere in Krisensituationen.",3733,69
10650,3,"Das erwähnte Flussufer bezieht sich wahrscheinlich auf den Fluss Ill in <placeName ref=""l492"" cert=""high"">Straßburg</placeName>, nahe dem Ort, wo der Vorfall mit <persName ref=""p5618"" cert=""high"">Heinrich Lavater</persName> eintrat. Der Fluss war bekannt für seine Strömungen und Gefahren, die insbesondere bei warmer Witterung und nach Regenfällen verstärkt sein konnten.",3733,99
10650,6,"Die Erwähnung der ""sodales"" bezieht sich auf die Mitglieder des theologischen Seminars oder der akademischen Gemeinschaft, in der <persName ref=""p5618"" cert=""high"">Lavater</persName> und Werdmüller (Myliander) verkehrten. Diese Gruppe war geprägt von einem intensiven Austausch über Glaubensfragen und der Unterstützung untereinander im Kontext der Reformation, vgl. auch <persName ref=""p315"" cert=""high"">Bedrotum</persName>, der ebenfalls zu den engen Vertrauten gehörte.",3733,121
10650,7,"In der erwähnten Passage spricht Werdmüller von d. <persName ref=""p315"" cert=""high"">Bedrotus</persName>, dem einflussreichen Humanisten und Reformator, der in dieser Zeit eine wichtige Rolle in der Zwinglianischen Bewegung spielte. Seine Korrespondenz und seine Beziehungen zu wichtigen Persönlichkeiten der Reformation, einschließlich Bullingers, sind für das Verständnis der Konflikte und des theologischen Diskurses dieser Zeit von großer Bedeutung. Siehe dazu die gesammelten Werke und Briefe von <persName ref=""p315"">Bedrotus</persName>, insbesondere in Bezug auf die Diskussionen zur Gemeinschaft und zu reformatorischen Themen.",3733,143
11507,10,"<persName ref=""p18988"" cert=""high"">Cyprianus von Karthago</persName>, De Lapsis, 16, 1; vgl. auch die Worte in seiner Schrift ""Ad Donatum"", wo er die Bedeutung und Reinheit des christlichen Rituals betont (<bibl>CCL</bibl> III 1f).",7293,79
11507,11,"<persName ref=""p18988"" cert=""high"">Cyprianus</persName>, De catholicae ecclesiae unitate, 7: „Nullus autem hadritus haeresim veritatis permixtum esse voluerit, qui aut in Christo acceperit haeresim, aut varietatem sacrorum et idolorum cultus sanctorum, quos adorat, et ab hoc missae cultus errantes scit non hic esse potuerit ausus.“",7293,106
11507,12,"<note xml:id=""fn12"" type=""footnote"" n=""12"">Vergleiche 1. Könige 18, 21: „Wie lange hinkt ihr auf beiden Seiten? Wenn der Herr Gott ist, so folget ihm nach; wenn aber Baal, so folgt ihm nach.“</note>",7293,66
11507,13,"Et cum dicitur „unicum Christi sacrificium“, refertur ad Hebr. 10, 14: „Una enim oblatione consummavit in perpetuum sanctificatos.“",7293,39
