,letter_id,edition,sent_count,cont_footnote_count,ed_footnote_count,footnotes_per_sentence
0,10013,20,275,112,26,0.4072727272727273
1,10014,01,58,16,5,0.27586206896551724
2,10015,01,188,0,0,0.0
3,10016,01,9,1,1,0.1111111111111111
4,10017,01,80,16,8,0.2
5,10020,01,2,0,2,0.0
6,10022,01,9,3,1,0.3333333333333333
7,10023,01,108,163,4,1.5092592592592593
8,10026,01,31,11,11,0.3548387096774194
9,10027,01,35,19,26,0.5428571428571428
10,10029,01,22,12,5,0.5454545454545454
11,10032,01,15,3,2,0.2
12,10033,01,14,8,1,0.5714285714285714
13,10036,01,23,18,5,0.782608695652174
14,10037,01,10,4,3,0.4
15,10038,01,41,49,5,1.1951219512195121
16,10039,01,14,5,1,0.35714285714285715
17,10040,01,61,105,3,1.721311475409836
18,10041,01,254,68,21,0.2677165354330709
19,10042,01,16,18,5,1.125
20,10043,01,6,11,0,1.8333333333333333
21,10044,01,11,8,3,0.7272727272727273
22,10045,01,25,10,3,0.4
23,10046,01,30,2,2,0.06666666666666667
24,10047,10,14,6,3,0.42857142857142855
25,10048,01,6,1,0,0.16666666666666666
26,10049,01,8,6,0,0.75
27,10050,01,137,307,4,2.240875912408759
28,10051,01,46,19,1,0.41304347826086957
29,10052,01,61,84,12,1.3770491803278688
30,10053,01,340,590,15,1.7352941176470589
31,10054,01,16,3,12,0.1875
32,10055,01,10,6,1,0.6
33,10056,01,16,8,6,0.5
34,10057,01,56,128,8,2.2857142857142856
35,10058,01,22,7,5,0.3181818181818182
36,10059,10,7,3,0,0.42857142857142855
37,10060,01,9,2,0,0.2222222222222222
38,10061,01,10,7,1,0.7
39,10062,01,15,6,3,0.4
40,10063,01,36,13,11,0.3611111111111111
41,10064,10,61,61,10,1.0
42,10065,01,34,10,2,0.29411764705882354
43,10066,01,9,19,2,2.111111111111111
44,10067,01,140,55,17,0.39285714285714285
45,10068,01,13,24,0,1.8461538461538463
46,10069,01,11,3,4,0.2727272727272727
47,10070,01,7,12,1,1.7142857142857142
48,10071,01,15,7,2,0.4666666666666667
49,10072,01,10,26,1,2.6
50,10073,01,22,31,4,1.4090909090909092
51,10074,01,26,9,2,0.34615384615384615
52,10075,01,5,17,1,3.4
53,10076,01,6,26,2,4.333333333333333
54,10077,01,32,71,8,2.21875
55,10078,01,15,35,5,2.3333333333333335
56,10079,01,18,8,0,0.4444444444444444
57,10080,01,18,16,3,0.8888888888888888
58,10081,01,16,6,10,0.375
59,10082,20,1,0,1,0.0
60,10083,02,17,7,2,0.4117647058823529
61,10084,02,31,7,0,0.22580645161290322
